case_id,customer_id,case_type,subject,status,priority,assigned_agent,created_at,updated_at,resolved_at,account_id,transaction_id,notes
CASE-2026-0001,CUST-B003,FRAUD_REPORT,Unauthorized international transactions on checking account,IN_PROGRESS,HIGH,Agent-Fraud-01,2026-03-12 06:00:00,2026-03-16 09:00:00,,ACC-100006,TXN-2026-000012 TXN-2026-000013,Customer Maria Garcia reported two unauthorized transactions totalling $1650 on 2026-03-12. Account locked pending investigation. Provisional credit under review. Investigation IN_PROGRESS as of 2026-03-16.
CASE-2026-0002,CUST-B007,ACCOUNT_LOCK,Account frozen after failed login attempts — identity verification required,IN_PROGRESS,MEDIUM,Agent-Security-03,2026-05-14 05:00:00,2026-05-18 11:00:00,,ACC-100013,,Account ACC-100013 frozen after 5 failed login attempts at 04:33 on 2026-05-14. Customer contacted by email. Awaiting government ID verification to unfreeze. Card CARD-000010 also blocked.
CASE-2026-0003,CUST-B008,COMPLIANCE,AML review — repeated cash deposits below reporting threshold,IN_PROGRESS,HIGH,Agent-Compliance-02,2026-03-14 16:00:00,2026-03-16 09:00:00,,ACC-100015,TXN-2026-000027 TXN-2026-000028 TXN-2026-000029,Three cash deposits of $9800 detected within 30 days. Potential structuring pattern. Compliance team reviewing. Outbound transfer limit reduced to $500/day. Customer notified by letter.
CASE-2026-0004,CUST-B015,LOAN_DEFAULT,Personal loan LOAN-2024-0003 default — collections initiated,ESCALATED,CRITICAL,Agent-Collections-01,2026-02-01 09:00:00,2026-03-10 14:00:00,,ACC-100024,,Loan 5 months overdue. Total arrears $1730.75. Account locked. Collections agency notified. Customer contacted by phone and mail. Legal action pending if no payment arrangement by 2026-04-01.
CASE-2026-0005,CUST-B002,TRANSACTION_DISPUTE,Disputed restaurant charge — customer claims never visited,RESOLVED,LOW,Agent-Disputes-04,2026-03-01 10:00:00,2026-03-10 15:00:00,2026-03-10 15:00:00,ACC-100003,TXN-2026-000007,Merchant chargeback initiated. Provisional credit $350 issued on 2026-03-10 (TXN-2026-000008). Permanent resolution expected within 45 days per Visa rules.
CASE-2026-0006,CUST-B006,TRANSACTION_INQUIRY,Auto loan payment failed due to card on file issue,RESOLVED,LOW,Agent-Support-05,2026-03-02 10:00:00,2026-03-02 16:00:00,2026-03-02 16:00:00,ACC-100012,,Customer reported auto loan payment failed March 1. Investigated — card used for payment expired. Customer updated card to CARD-000009. Payment reprocessed successfully.
CASE-2026-0007,CUST-B013,TRANSACTION_INQUIRY,International wire transfer to Japan not received,IN_PROGRESS,MEDIUM,Agent-Wire-02,2026-03-14 14:00:00,2026-03-16 10:00:00,,ACC-100021,TXN-2026-000048,Wire TXN-2026-000048 for $5000 to Japan initiated 2026-03-14. Standard compliance review for international wire. Customer informed of 2-3 business day processing window. Expected arrival 2026-03-17 to 2026-03-18.
CASE-2026-0008,CUST-B005,LOAN_INQUIRY,Mortgage payment confirmation request,RESOLVED,LOW,Agent-Support-01,2026-03-01 12:00:00,2026-03-01 13:00:00,2026-03-01 13:00:00,ACC-100010,TXN-2026-000020,Customer requested confirmation that mortgage payment posted correctly. Confirmed TXN-2026-000020 for $2222.15 completed on 2026-03-01. No action needed.
CASE-2026-0009,CUST-B003,FRAUD_REPORT,Follow-up on account lock status and credit card safety,OPEN,HIGH,Agent-Fraud-01,2026-03-15 10:00:00,2026-03-16 09:00:00,,ACC-100006,,Second case opened by Maria Garcia — wants to know if CARD-000004 needs to be reissued and when account will be unlocked. Fraud investigation ongoing. Escalated to fraud specialist team.
CASE-2026-0010,CUST-B010,TRANSACTION_INQUIRY,Large B2B wire transfer to supplier pending longer than expected,RESOLVED,MEDIUM,Agent-Wire-01,2026-03-14 10:00:00,2026-03-16 11:00:00,2026-03-16 11:00:00,ACC-100018,TXN-2026-000037,Wire TXN-2026-000037 for $85000 to Global Supplier Inc initiated 2026-03-13. Large transfer flagged for standard compliance review. Customer informed. Expected to clear 2026-03-17.
CASE-2026-0011,CUST-B003,SOCIAL_ENGINEERING,Suspected vishing call — caller impersonating bank fraud team requesting safe account transfer,OPEN,CRITICAL,Agent-Fraud-01,2026-03-19 14:30:00,2026-03-19 14:30:00,,ACC-100006,,Customer Maria Garcia called to report receiving a phone call from someone claiming to be the bank's fraud department. Caller asked her to transfer $500 to a safe account for protection. Customer did not comply. Cross-session link: CASE-2026-0001 (card compromise 2026-03-12). COORDINATED_ATTACK pattern detected — same threat actor likely using card data obtained during original breach to target victim via social engineering. Escalated urgently to fraud specialist team with reference to CASE-2026-0001.
