loan_id,customer_id,loan_type,original_amount,outstanding_balance,interest_rate_pct,monthly_payment,next_payment_date,next_payment_amount,last_payment_date,last_payment_amount,payments_overdue,status,origination_date,maturity_date,collateral,notes
LOAN-2023-0001,CUST-B001,PERSONAL,15000.00,8240.00,7.99,312.45,2026-04-01,312.45,2026-03-01,312.45,0,ACTIVE,2023-03-15,2028-03-15,,Auto-pay enabled. On track.
LOAN-2022-0001,CUST-B002,MORTGAGE,850000.00,780000.00,4.25,4180.23,2026-04-05,4180.23,2026-03-05,4180.23,0,ACTIVE,2022-05-01,2052-05-01,"Property: 456 Oak Ave SF CA 94103 — appraised $1.2M",30-year fixed mortgage. PMI removed. On track.
LOAN-2024-0001,CUST-B003,PERSONAL,8000.00,7120.00,9.99,255.30,2026-04-01,255.30,2026-03-01,255.30,0,ACTIVE,2024-01-10,2027-01-10,,Auto-pay from checking — checking currently locked due to fraud. Next payment may fail unless customer updates payment source.
LOAN-2023-0002,CUST-B004,BUSINESS_LINE_OF_CREDIT,200000.00,145000.00,6.50,786.46,2026-04-01,786.46,2026-03-01,786.46,0,ACTIVE,2023-05-08,2026-05-08,,Revolving credit line. Interest-only minimum payment. Renewal due May 2026.
LOAN-2021-0001,CUST-B005,MORTGAGE,480000.00,445000.00,3.75,2222.15,2026-04-01,2222.15,2026-03-01,2222.15,0,ACTIVE,2021-03-01,2051-03-01,"Property: 321 Birch Lane Chicago IL 60601 — appraised $620K",30-year fixed mortgage. On track.
LOAN-2024-0002,CUST-B006,AUTO,28000.00,25600.00,6.99,545.80,2026-04-01,545.80,2026-03-01,545.80,0,ACTIVE,2024-08-12,2029-08-12,"2024 Toyota Camry VIN: 4T1B11HKXKU749321",5-year auto loan. On track.
LOAN-2023-0003,CUST-B008,PERSONAL,5000.00,4800.00,12.99,168.50,2026-04-01,168.50,2026-02-15,168.50,1,DELINQUENT,2023-09-15,2026-09-15,,March payment overdue (30 days). Account under AML review separately. Customer to be contacted.
LOAN-2022-0002,CUST-B009,MORTGAGE,420000.00,390000.00,4.50,2128.40,2026-04-02,2128.40,2026-03-02,2128.40,0,ACTIVE,2022-04-15,2052-04-15,"Property: 258 Spruce Ct Atlanta GA 30301 — appraised $510K",30-year fixed mortgage. On track.
LOAN-2024-0003,CUST-B015,PERSONAL,10000.00,9800.00,14.99,346.15,,,2025-10-01,346.15,5,DEFAULT,2024-10-20,2027-10-20,,5 months overdue (Nov 2025–Mar 2026). Account locked 2026-02-01. Collections initiated. Total overdue: $1,730.75.
LOAN-2023-0004,CUST-B017,BUSINESS,150000.00,112000.00,6.75,2934.00,2026-04-01,2934.00,2026-03-01,2934.00,0,ACTIVE,2023-08-25,2028-08-25,,5-year term business loan. On track.
LOAN-2022-0003,CUST-B018,MORTGAGE,600000.00,556000.00,3.99,2864.20,2026-04-03,2864.20,2026-03-03,2864.20,0,ACTIVE,2022-03-10,2052-03-10,"Property: 618 Cypress Ave Las Vegas NV 89101 — appraised $780K",30-year fixed mortgage. On track.
LOAN-2024-0004,CUST-B011,PERSONAL,3000.00,2100.00,8.99,95.50,2026-04-01,95.50,2026-03-01,95.50,0,ACTIVE,2024-06-30,2027-06-30,,On track. Auto-pay from checking.
LOAN-2023-0005,CUST-B010,BUSINESS,250000.00,180000.00,6.25,4850.00,2026-04-01,4850.00,2026-03-01,4850.00,0,ACTIVE,2023-12-01,2028-12-01,,5-year business expansion loan. On track.
LOAN-2024-0005,CUST-B012,AUTO,18000.00,15200.00,7.50,362.00,2026-04-01,362.00,2026-03-01,362.00,0,ACTIVE,2024-03-18,2029-03-18,"2023 Honda Civic VIN: 2HGFC2F87PH576432",5-year auto loan. On track.
LOAN-2022-0004,CUST-B020,PERSONAL,12000.00,4560.00,8.50,375.00,2026-04-01,375.00,2026-03-01,375.00,0,ACTIVE,2022-05-22,2026-05-22,,Almost paid off — 4 payments remaining. On track.
